基因	关系	基因
CISH	起调控作用	XBP1
ALB	起调控作用	CDC20
PIM1	起调控作用	FABP5
TLR2	起调控作用	PRKCQ
BAD	起调控作用	BIRC5
IFNG	起调控作用	HLA-DPB1
PRKCG	起调控作用	IRF5
MMP14	起调控作用	TP53
NRG1	起调控作用	HP
DTNA	起调控作用	AKR1C2
KLF7	起调控作用	CDK6
SLC1A5	起调控作用	SPR
SGK3	起调控作用	AURKB
LDHA	起调控作用	SELL
PHGDH	起调控作用	PFN1
EGR1	起调控作用	HDAC6
DUSP3	起调控作用	PHGDH
IL2	起调控作用	GDF15
MET	起调控作用	PLIN2
SFN	起调控作用	TYMS
MCL1	起调控作用	CHEK2
MTOR	起调控作用	TUFM
FECH	起调控作用	CSRP1
CAMKK2	起调控作用	CDC20
GNA12	起调控作用	AURKB
RAF1	起调控作用	MYC
ME1	起调控作用	PNP
IGFBP5	起调控作用	DLD
MSMO1	起调控作用	APRT
HSPG2	起调控作用	CDK6
STK39	起调控作用	KIT
IL13	起调控作用	CCL2
CA2	起调控作用	TF
PLAUR	起调控作用	EIF4EBP1
ANXA5	起调控作用	DLD
PRKDC	起调控作用	FABP5
PLK1	起调控作用	CSRP1
BAZ1B	起调控作用	IGFBP3
HADH	起调控作用	STAT1
SREBF1	起调控作用	SELL
RHOA	起调控作用	NME1
STAT3	起调控作用	CDK7
MAPK8	起调控作用	PTGS2
BIK	起调控作用	ST3GAL5
RGS2	起调控作用	CHEK2
PRKCG	起调控作用	EGF
WRN	起调控作用	HSPD1
EPHX2	起调控作用	PFKL
SHH	起调控作用	SLC7A5
SLC12A2	起调控作用	GJA1
CISD1	起调控作用	WFS1
ELOVL6	起调控作用	IDH1
SDHA	起调控作用	PTGS2
JAK1	起调控作用	PCNA
ABL1	起调控作用	TUBA1A
AHR	起调控作用	HLA-DRA
SERPINA7	起调控作用	COG2
SDHD	起调控作用	TYMS
CSF3	起调控作用	COG2
PTK2	起调控作用	HP
PLA2G4A	起调控作用	TPI1
CDC25C	起调控作用	ALAS1
SOD1	起调控作用	MIF
NOX1	起调控作用	SLC7A5
CTH	起调控作用	CES1
AHR	起调控作用	CCND3
ITGB3	起调控作用	TF
ABCB5	起调控作用	PNP
FTL	起调控作用	TPI1
RPS6KA3	起调控作用	CCR7
PIM1	起调控作用	CDC20
HLA-A	起调控作用	CAST
PNP	起调控作用	CDK6
GLUD1	起调控作用	ST3GAL5
MECP2	起调控作用	TXNRD2
TGFBR2	起调控作用	IGF1R
CFTR	起调控作用	PCNA
IRF5	起调控作用	GADD45A
UBB	起调控作用	CXCL2
AFG3L2	起调控作用	PNP
KCNQ1	起调控作用	PFN1
NOX1	起调控作用	NME1
TF	起调控作用	CDC20
IGF1R	起调控作用	TF
JUN	起调控作用	NME1
MAP3K1	起调控作用	RHOA
AKR1C2	起调控作用	TIMP1
GNA12	起调控作用	HSPD1
IGF2R	起调控作用	GLI2
NFE2L2	起调控作用	ITPR1
NTRK3	起调控作用	PYCR1
CCL20	起调控作用	HSPB1
GLA	起调控作用	PPARG
CTSK	起调控作用	SELL
VDAC1	起调控作用	NDUFA2
IGF2R	起调控作用	SYK
UBB	起调控作用	TERT
AKT2	起调控作用	SPR
C5	起调控作用	GJA1
CD19	起调控作用	SERPINA3
WRN	起调控作用	PRKCQ
TXNRD1	起调控作用	MIF
ARF1	起调控作用	APEX1
AR	起调控作用	MT2A
SIRT1	起调控作用	MIF
PDPK1	起调控作用	LPL
GSTP1	起调控作用	CES1
MAOB	起调控作用	GJA1
NR3C1	起调控作用	PTPN1
RHOA	起调控作用	PLK1
JUNB	起调控作用	HSD17B10
AMD1	起调控作用	SPP1
CAT	起调控作用	PREP
MET	起调控作用	SERPINA3
IRF4	起调控作用	FOSL1
PRKDC	起调控作用	PDHB
OTX2	起调控作用	GNAI1
VIM	起调控作用	CDC25B
P2RY12	起调控作用	CCNA2
CDC25A	起调控作用	NQO1
SMAD3	起调控作用	ICAM1
CBS	起调控作用	ADRB2
ITPR2	起调控作用	NME1
CDK2	起调控作用	SLC1A4
ATP2C1	起调控作用	CASK
B4GALT4	起调控作用	NFE2L2
MAPK9	起调控作用	CDK5R1
HSPB1	起调控作用	HLA-DRA
FAH	起调控作用	SLC12A2
E2F1	起调控作用	LPL
ARG2	起调控作用	LGALS1
RPS6KA3	起调控作用	GJA1
JUN	起调控作用	EGF
SLC25A15	起调控作用	TLR4
MAP2K1	起调控作用	TYMS
CA12	起调控作用	CDKN1A
FOS	起调控作用	HDAC6
PTGS2	起调控作用	LGALS1
NPTN	起调控作用	LPL
VHL	起调控作用	NME1
TOP2A	起调控作用	TXNRD1
CDC37	起调控作用	NME1
XRCC4	起调控作用	ACLY
SLC1A6	起调控作用	CYCS
HPRT1	起调控作用	STAT1
BAX	起调控作用	RGS2
ATP1A1	起调控作用	GPI
RAF1	起调控作用	TUBA4A
THBD	起调控作用	MMP1
APEX1	起调控作用	DNMT1
BAD	起调控作用	C3
SGK3	起调控作用	CEBPB
CENPE	起调控作用	PPARD
EDN1	起调控作用	EIF4EBP1
CTSK	起调控作用	RHOA
ABCG5	起调控作用	SELL
ACO2	起调控作用	CDC20
SMARCE1	起调控作用	ABL1
DIABLO	起调控作用	TYMS
PRNP	起调控作用	PRKCQ
RB1	起调控作用	PLA2G2A
KIF11	起调控作用	HP
CXCR4	起调控作用	SERPINA3
CHEK2	起调控作用	GJA1
IMPA1	起调控作用	CXCL5
CFLAR	起调控作用	PLA2G4A
SOX10	起调控作用	MIF
TUBB3	起调控作用	POLE
GPBAR1	起调控作用	GNAS
PTPN1	起调控作用	TIMP1
ATP2C1	起调控作用	AKT1
HLA-DQA1	起调控作用	GNAS
ESS2	起调控作用	SERPINA3
IL13RA2	起调控作用	IL18
VIM	起调控作用	LIG1
CHUK	起调控作用	CAST
BMPR2	起调控作用	COG2
ATP1A3	起调控作用	CDK4
FECH	起调控作用	RGS2
SIRT1	起调控作用	KEAP1
LIG1	起调控作用	PLK1
CBS	起调控作用	GADD45A
SDHA	起调控作用	TYMS
NSDHL	起调控作用	PRKAG2
VDAC1	起调控作用	CDC25B
RET	起调控作用	HSPB1
ACAT1	起调控作用	HMOX1
SOD1	起调控作用	RHOA
OTUD7A	起调控作用	FABP5
PGK1	起调控作用	RBP4
TP53	起调控作用	BAX
RPS27A	起调控作用	HP
MITF	起调控作用	PCCB
NDUFS8	起调控作用	CCL2
MAP2K5	起调控作用	NR1H2
CCND1	起调控作用	SERPINA3
SLC25A4	起调控作用	PSAT1
DUSP22	起调控作用	CDK4
NR1H2	起调控作用	SERPINA3
HDAC8	起调控作用	CYCS
ACAD8	起调控作用	SPP1
BAZ1B	起调控作用	AURKA
HEXB	起调控作用	GHR
IL2RB	起调控作用	TYMS
LMNA	起调控作用	CES1
SCARB1	起调控作用	PFN1
ZNF202	起调控作用	ADRB2
KDR	起调控作用	AKT1
MDH2	起调控作用	TOP2A
EIF4EBP1	起调控作用	KAT5
RB1	起调控作用	CHEK2
ADA	起调控作用	PCNA
PRKACA	起调控作用	PARP1
HSF1	起调控作用	CYCS
EBP	起调控作用	AKT1
PRKACA	起调控作用	ADRB2
OXTR	起调控作用	HP
DAXX	起调控作用	KIT
CSRP1	起调控作用	ADM
CTNNB1	起调控作用	TUBA1A
EIF2AK2	起调控作用	PTK2B
NFKBIA	起调控作用	CSRP1
SLC25A12	起调控作用	SELL
WRN	起调控作用	GHR
FLT3	起调控作用	COG2
KIF11	起调控作用	TYMS
MDH2	起调控作用	VDAC1
MAPK9	起调控作用	PPARG
PRKACA	起调控作用	NME1
ATP1A3	起调控作用	PFN1
NR4A1	起调控作用	XBP1
EGFR	起调控作用	SERPINA3
IDH1	起调控作用	SERPINA3
RHOA	起调控作用	TYMS
KRT19	起调控作用	PTK2B
TBXA2R	起调控作用	IDH1
GPX1	起调控作用	PLA2G4A
MYC	起调控作用	AMD1
NFKBIA	起调控作用	CES1
PSPH	起调控作用	PCBD1
EGLN1	起调控作用	HADH
BLVRA	起调控作用	CFLAR
HADH	起调控作用	TPM1
ALB	起调控作用	NDUFA9
RAD51	起调控作用	COG2
HRAS	起调控作用	EGF
ESR2	起调控作用	MMP1
IFNB1	起调控作用	PSMB8
GPBAR1	起调控作用	CSRP1
AKR1B1	起调控作用	TUFM
NAMPT	起调控作用	CISD1
CCND1	起调控作用	CDC25A
ERBB2	起调控作用	GNAI1
NOX1	起调控作用	ERBB2
PSMG1	起调控作用	NSDHL
TARDBP	起调控作用	C5
PIK3C2A	起调控作用	HDAC6
C1QA	起调控作用	BAG3
MAT1A	起调控作用	PNP
BAD	起调控作用	PMPCA
RARA	起调控作用	ST3GAL5
HSF1	起调控作用	GADD45A
SDHA	起调控作用	GDF15
KDR	起调控作用	SDHB
PIK3C2A	起调控作用	HP
DNPEP	起调控作用	PCCB
NR2F2	起调控作用	HADH
KLF10	起调控作用	TOP2A
PRKCB	起调控作用	DLD
ABCB5	起调控作用	STXBP2
RXRA	起调控作用	RHOA
SPTLC1	起调控作用	CDK4
TUBB2A	起调控作用	IL1B
PTK2B	起调控作用	TGFB3
ESR2	起调控作用	HSD17B10
FBP1	起调控作用	LGALS1
NPY1R	起调控作用	CFLAR
APOE	起调控作用	VEGFA
CD83	起调控作用	FOS
CD3D	起调控作用	SPR
ACTB	起调控作用	CDK4
PIK3R1	起调控作用	DLD
BLVRA	起调控作用	PAK1
BCR	起调控作用	PRKAG2
TIMP2	起调控作用	NME1
S100A1	起调控作用	SELL
KRAS	起调控作用	CDK4
SFN	起调控作用	FN1
SLC25A1	起调控作用	VIM
OTUD7A	起调控作用	SYK
IKBKG	起调控作用	KEAP1
CHEK2	起调控作用	PAK1
ABL1	起调控作用	HRAS
CYP1A1	起调控作用	CDC20
CXCL1	起调控作用	CASP7
RGS2	起调控作用	APEX1
KRAS	起调控作用	IL1B
LDHA	起调控作用	MIF
PRKCZ	起调控作用	CLUH
FOS	起调控作用	COL4A1
E2F1	起调控作用	CES1
FDPS	起调控作用	MMP1
NOX1	起调控作用	PARP1
ICAM1	起调控作用	TOP2A
BAG3	起调控作用	CTPS1
PSPH	起调控作用	C5
MAPK9	起调控作用	PROS1
SMAD7	起调控作用	PTK2B
TFF1	起调控作用	LGALS1
PRKACA	起调控作用	F2RL1
GPBAR1	起调控作用	CXCL2
NR3C1	起调控作用	MMP1
SPDEF	起调控作用	SPP1
BIRC5	起调控作用	JUN
GLUD1	起调控作用	PCNA
FTL	起调控作用	TYMS
SMARCA4	起调控作用	TIMP1
PNP	起调控作用	DLD
IGFBP2	起调控作用	EIF4EBP1
PYGO1	起调控作用	CSRP1
IL2RB	起调控作用	PYGL
WEE1	起调控作用	SLC25A4
MAPK13	起调控作用	NME1
CBS	起调控作用	TOP2A
HSD17B10	起调控作用	AKR1C3
IL2	起调控作用	MT2A
CAMKK2	起调控作用	BMP4
SIK1	起调控作用	PTK2
MAPK3	起调控作用	LAMA3
VHL	起调控作用	TYMS
SIRT1	起调控作用	PPT1
PRKCG	起调控作用	PAX8
MMP2	起调控作用	GDF15
ACTR2	起调控作用	CDC20
MAPK8	起调控作用	PFN1
F2RL1	起调控作用	HSD17B10
PLA2G2A	起调控作用	ETS1
SLC25A4	起调控作用	CDC20
HNF4A	起调控作用	PHGDH
PTPN11	起调控作用	ADRB2
STAT5B	起调控作用	PFKL
SOD1	起调控作用	MMACHC
EP300	起调控作用	CEBPB
BCL2L1	起调控作用	SERPINA3
CBS	起调控作用	HMOX1
TNFRSF10B	起调控作用	PTK2B
SPP1	起调控作用	G6PD
KIF11	起调控作用	HMOX1
EGFR	起调控作用	GHR
KCNK2	起调控作用	CDC20
TGFBR1	起调控作用	C5
AOC3	起调控作用	FGFR3
PAX8	起调控作用	PCNA
KLF10	起调控作用	TNFRSF1A
HEXB	起调控作用	TUBA1A
PDPK1	起调控作用	MMP1
LIG1	起调控作用	IGF2R
CTDSP1	起调控作用	NQO1
MSMO1	起调控作用	CSRP1
LIG1	起调控作用	MMP7
PLOD2	起调控作用	DLD
IFNG	起调控作用	BIRC5
VDAC1	起调控作用	JUNB
ICAM1	起调控作用	PTK2B
SUOX	起调控作用	SERPINA3
SDHA	起调控作用	NFE2L2
SPDEF	起调控作用	RBPMS
CCNG1	起调控作用	PCNA
PDE4D	起调控作用	GLI2
HDAC4	起调控作用	RBP4
PTEN	起调控作用	CDK4
AHR	起调控作用	CSTB
GSS	起调控作用	ASS1
CDKN2B	起调控作用	SERPINA3
ALDH5A1	起调控作用	SERPINA1
FGFR1	起调控作用	EGR1
PYCR1	起调控作用	APOE
MTOR	起调控作用	AKR1B1
PDE4D	起调控作用	ABCC1
MDH2	起调控作用	RAF1
FH	起调控作用	XBP1
SMARCA4	起调控作用	TIMP2
AKT1	起调控作用	COL7A1
PPARG	起调控作用	CYCS
HEY1	起调控作用	NFKBIA
SLC25A4	起调控作用	CHEK2
IGFBP2	起调控作用	CCNA2
PSIP1	起调控作用	SERPINA3
HPRT1	起调控作用	CFH
TGFB1	起调控作用	PRKCQ
ARF1	起调控作用	HSPB1
ABL1	起调控作用	PRKCQ
TNFRSF10B	起调控作用	PCBD1
RXRA	起调控作用	PCNA
AIFM1	起调控作用	COG2
CXCL1	起调控作用	TLR4
HEY1	起调控作用	CCND1
PDPK1	起调控作用	CSRP1
PTK2	起调控作用	AKR1C2
BBC3	起调控作用	CES1
IFNB1	起调控作用	ST3GAL5
STAT1	起调控作用	CASK
NRAS	起调控作用	KEAP1
EGR1	起调控作用	VDAC1
AKR1C3	起调控作用	TUBA1A
ANO1	起调控作用	SLC7A5
ACADS	起调控作用	TF
RPS27A	起调控作用	AXIN1
PSIP1	起调控作用	IKBKB
PLK1	起调控作用	GADD45A
DNMT1	起调控作用	CDKN1A
EP300	起调控作用	PROS1
PLAT	起调控作用	CTSF
TNFRSF10B	起调控作用	BLVRA
FAH	起调控作用	CXCL8
PRKACA	起调控作用	ACLY
APOH	起调控作用	MIF
SLC25A12	起调控作用	TFRC
EDN1	起调控作用	CCND1
HRAS	起调控作用	MIF
TNF	起调控作用	SELL
EIF6	起调控作用	GJA1
SIN3A	起调控作用	SELL
FDPS	起调控作用	GDF15
HLA-DRB1	起调控作用	PPARG
SMARCA4	起调控作用	VEGFA
ADAM17	起调控作用	TXNRD1
RPS19	起调控作用	CDKN1A
CDC25A	起调控作用	CCNA2
NTRK2	起调控作用	RHOA
GPX4	起调控作用	TPI1
GADD45A	起调控作用	NFKB2
PAX8	起调控作用	DNMT1
GSK3B	起调控作用	ABL1
JAK1	起调控作用	GJA1
HDAC6	起调控作用	GLB1
LCK	起调控作用	SCD
RAD51	起调控作用	MKI67
SREBF2	起调控作用	HMGCR
IL13	起调控作用	ADM
GGT1	起调控作用	TPI1
PCBD1	起调控作用	WFS1
S100A1	起调控作用	NR3C1
ADRA2A	起调控作用	PCNA
KRT19	起调控作用	TUBA1A
TBXA2R	起调控作用	MMP1
GCK	起调控作用	PFN1
CTNNB1	起调控作用	CDC20
IGF2	起调控作用	CDC20
PAX8	起调控作用	PLIN2
MTOR	起调控作用	FTH1
GGT1	起调控作用	SMPD1
PRNP	起调控作用	LGALS1
NR2F2	起调控作用	PDPK1
FECH	起调控作用	CEBPB
ABAT	起调控作用	NME1
SPARC	起调控作用	CASP7
ADK	起调控作用	TUBA4A
NF1	起调控作用	PCNA
RAB7A	起调控作用	PCNA
MIF	起调控作用	PTK2B
SLC25A4	起调控作用	HSD17B10
AKT1	起调控作用	TERT
DHCR7	起调控作用	MIF
PDHA1	起调控作用	SLC7A5
DUSP22	起调控作用	IRF4
NR4A1	起调控作用	CSRP1
PRKCG	起调控作用	ADRA2A
CAMK4	起调控作用	PNP
LIG1	起调控作用	PRKCQ
BCL6	起调控作用	CTSD
F7	起调控作用	CAPN2
MET	起调控作用	GDF15
PTK2	起调控作用	TLR4
IFNB1	起调控作用	GALE
POLB	起调控作用	TYMS
MAP2K4	起调控作用	STXBP2
CEBPB	起调控作用	ASS1
IGF2R	起调控作用	MMP1
OTUD7A	起调控作用	MYB
CAT	起调控作用	NFKB2
BID	起调控作用	IKBKB
B4GALT4	起调控作用	SDHB
HSP90AA1	起调控作用	ACLY
CXCL1	起调控作用	MYC
MEN1	起调控作用	CDK6
RFC2	起调控作用	PLK2
ESR1	起调控作用	SPP1
CFB	起调控作用	SPP1
ACTB	起调控作用	STXBP2
ITGB3	起调控作用	PAK1
AKT1	起调控作用	CDC25B
APOB	起调控作用	SERPINA3
HDAC1	起调控作用	HSPB1
ASL	起调控作用	PAX8
PDE4D	起调控作用	RHOA
SIN3A	起调控作用	LIG1
SLC9A1	起调控作用	CEBPB
BIRC5	起调控作用	CDKN3
TOP2A	起调控作用	SLC7A5
IFNB1	起调控作用	CCR7
TGFBR2	起调控作用	ST3GAL5
EGLN1	起调控作用	CSRP1
AKT2	起调控作用	HLA-DRA
RAF1	起调控作用	TPI1
CENPE	起调控作用	ZNF202
HLA-DRB1	起调控作用	TFPI2
IRF4	起调控作用	CCND3
FAS	起调控作用	CCL2
FOSL2	起调控作用	CXCL2
ACO2	起调控作用	PCNA
KIF11	起调控作用	SERPINA3
MAPK8	起调控作用	PRKCQ
MAP2K4	起调控作用	GNAS
HLA-DRB1	起调控作用	HPRT1
ALDH6A1	起调控作用	PAK1
CTSK	起调控作用	BIRC5
SMAD4	起调控作用	TFRC
TGFBR1	起调控作用	PLIN2
ELK1	起调控作用	APEX1
NSDHL	起调控作用	ASS1
TGFBR2	起调控作用	SERPINA3
VCP	起调控作用	BIRC5
KRT19	起调控作用	APEX1
VIM	起调控作用	TUBA4A
PLAT	起调控作用	SMPD1
HEXB	起调控作用	CES1
PRKACA	起调控作用	YWHAB
HDAC1	起调控作用	PCBD1
TIMP1	起调控作用	HP
RARA	起调控作用	PFN1
MMP14	起调控作用	BIRC5
DPP4	起调控作用	MAPK13
FXYD2	起调控作用	NME1
ALDH6A1	起调控作用	NME1
KRT19	起调控作用	TXNRD1
DLD	起调控作用	HSPG2
GAPDH	起调控作用	PSMB8
CDK4	起调控作用	LIG1
CD40	起调控作用	PFN1
VEGFA	起调控作用	PRKCD
ABCC3	起调控作用	CEBPB
ANXA5	起调控作用	USP3
WFS1	起调控作用	PRDX4
PTK7	起调控作用	HSPB1
HFE	起调控作用	CDC20
PARP1	起调控作用	GRN
ANG	起调控作用	CDK6
TGFA	起调控作用	NME1
TUBB2A	起调控作用	CASK
NPTN	起调控作用	YBX3
GNAS	起调控作用	RPS6
TPI1	起调控作用	DHFR
SOD2	起调控作用	CDC25B
EGR1	起调控作用	ERBB2
TXNRD1	起调控作用	TOP2A
RPS19	起调控作用	TOP2A
NR1H2	起调控作用	PHGDH
BID	起调控作用	PTGS2
SLC25A4	起调控作用	NQO1
ABCG8	起调控作用	LGALS1
ACADS	起调控作用	NME1
HK1	起调控作用	ERBB2
PTK2	起调控作用	KIT
FTH1	起调控作用	DLD
TOP1	起调控作用	NDUFV2
ERBB2	起调控作用	CES1
GAA	起调控作用	NR1H2
DDC	起调控作用	CAT
ALB	起调控作用	CHUK
AKT1	起调控作用	F3
MVK	起调控作用	ST3GAL5
HEXB	起调控作用	PTK2B
TLR9	起调控作用	TF
SLC16A1	起调控作用	PNP
EGR1	起调控作用	RBP4
EGLN1	起调控作用	NRAS
ARG1	起调控作用	GLUD1
SAR1B	起调控作用	CDK6
SIRT1	起调控作用	PSIP1
IKBKB	起调控作用	NQO1
PAX8	起调控作用	TPI1
ALDH7A1	起调控作用	NQO1
PRKCZ	起调控作用	PLA2G4A
EGFR	起调控作用	WFS1
IFNB1	起调控作用	MKI67
CDK6	起调控作用	SERPINA3
HSF1	起调控作用	PYCR1
PLAT	起调控作用	STK39
GPX4	起调控作用	HLA-DRA
SRC	起调控作用	AKT1
F2R	起调控作用	SLC25A4
ANXA5	起调控作用	EGF
SIRT1	起调控作用	SNAP25
MITF	起调控作用	BCL2
BIRC5	起调控作用	GPI
GPR35	起调控作用	CRYZ
SHH	起调控作用	MIF
CCND1	起调控作用	AKT1
RGS2	起调控作用	CEBPB
NRIP1	起调控作用	CSRP1
HPGD	起调控作用	F3
HLA-DRB1	起调控作用	TUBA1A
ELOVL6	起调控作用	ST3GAL5
PDPK1	起调控作用	TXNRD1
MITF	起调控作用	SNAP25
B4GALT4	起调控作用	PTK2B
MYB	起调控作用	GSK3B
HSPA2	起调控作用	COG2
PNPO	起调控作用	TYMS
PARG	起调控作用	PFN1
PRKACA	起调控作用	SERPINE1
KCNJ11	起调控作用	KIT
BRAF	起调控作用	PPP2R2A
HDAC1	起调控作用	CAPN1
F3	起调控作用	CSRP1
KCNK2	起调控作用	CES1
GNAI1	起调控作用	PFN1
VDAC1	起调控作用	TP53
HDAC4	起调控作用	HSD17B10
HSPA5	起调控作用	CCND1
SMARCA4	起调控作用	IGFBP7
IFNG	起调控作用	CRYZ
PTK2B	起调控作用	CAT
EPHX2	起调控作用	CDK6
ABL1	起调控作用	PARP1
CA12	起调控作用	LGALS1
GCK	起调控作用	GNAI1
IKBKG	起调控作用	CXCL2
CDC25A	起调控作用	NME1
SMAD7	起调控作用	GALE
FGFR2	起调控作用	PCNA
AGT	起调控作用	AXIN1
IGFBP5	起调控作用	PIK3CA
ASL	起调控作用	PCBD1
CDK4	起调控作用	CDC25A
NSDHL	起调控作用	HSPB1
BCL2L1	起调控作用	GNAS
PNPO	起调控作用	RFC2
FAS	起调控作用	CES1
VDR	起调控作用	COG2
PLOD1	起调控作用	PTPN1
SOAT1	起调控作用	SNAP25
KIF11	起调控作用	TLR4
KDR	起调控作用	PCBD1
PRKCZ	起调控作用	BLVRA
IL10	起调控作用	RHOA
PLK2	起调控作用	TPI1
CRYZ	起调控作用	SLC25A4
CDC42	起调控作用	VIM
QDPR	起调控作用	LPL
TFF1	起调控作用	TIMP1
NME1	起调控作用	GAA
FGA	起调控作用	KEAP1
TBXA2R	起调控作用	NDUFV1
THBS1	起调控作用	PCNA
ABL1	起调控作用	SLC1A4
PLAU	起调控作用	HDAC6
SPDEF	起调控作用	TUBA1A
KCNQ1	起调控作用	PCBD1
B2M	起调控作用	SERPINA3
KNG1	起调控作用	CES1
ABAT	起调控作用	PLK1
SRC	起调控作用	TBXA2R
CDK2	起调控作用	COG2
VCP	起调控作用	PSMB8
FGFR2	起调控作用	MIF
PTPN1	起调控作用	NME1
CENPE	起调控作用	GADD45A
AKR1C2	起调控作用	IGFBP2
ALDH7A1	起调控作用	SMPD1
SOD1	起调控作用	CSRP1
DPYD	起调控作用	PCBD1
VDAC1	起调控作用	SCARB1
CALM1	起调控作用	CDKN1A
BLVRA	起调控作用	CCNB1
ARG1	起调控作用	HSPB1
PTK2B	起调控作用	PYGL
FOSL2	起调控作用	IGFBP3
BIRC5	起调控作用	AURKA
PLK1	起调控作用	LIG1
AKR1C3	起调控作用	GSS
NFE2L2	起调控作用	GLI3
ME1	起调控作用	HP
SMAD7	起调控作用	SYK
KYNU	起调控作用	CSRP1
ALDH4A1	起调控作用	APEX1
HSPA5	起调控作用	FABP5
PC	起调控作用	HSPB1
COMT	起调控作用	SCARB1
THBS1	起调控作用	PPIB
PFKL	起调控作用	ADAM10
F7	起调控作用	EGFR
EBP	起调控作用	DTNA
ABAT	起调控作用	BAG3
ABAT	起调控作用	SMARCE1
EGFR	起调控作用	RBP4
MAX	起调控作用	PHGDH
MAP2K4	起调控作用	ADM
AFG3L2	起调控作用	BIRC5
MIF	起调控作用	HPGD
SGK3	起调控作用	ADRB2
SAR1B	起调控作用	GJA1
MYB	起调控作用	TIMP2
IKBKB	起调控作用	PLOD1
HSF1	起调控作用	CES1
BAG3	起调控作用	CYCS
PDHB	起调控作用	MIF
ABCC2	起调控作用	LIG1
TGFA	起调控作用	PCBD1
L1CAM	起调控作用	CCND3
BCL2A1	起调控作用	CSRP1
IGF2R	起调控作用	EGF
NDUFV2	起调控作用	SNAP25
NPY1R	起调控作用	KEAP1
JAK1	起调控作用	CSRP1
NR3C1	起调控作用	RPIA
CHRM1	起调控作用	CDK7
VIM	起调控作用	PCBD1
ERBB4	起调控作用	LGALS1
FAS	起调控作用	NME1
AMD1	起调控作用	CEBPB
THBS1	起调控作用	MIF
PRKCA	起调控作用	ABL1
HPRT1	起调控作用	PTS
IL10	起调控作用	CHEK2
PRKCA	起调控作用	SLC25A4
SDHB	起调控作用	PDHB
CD83	起调控作用	PARP1
SPP1	起调控作用	PTK2B
TXNIP	起调控作用	SLC25A13
IL11RA	起调控作用	FOSL1
NKX2-5	起调控作用	CCL2
FAS	起调控作用	CCNB1
IL2RB	起调控作用	CDK4
GPBAR1	起调控作用	FABP5
IGFBP2	起调控作用	IKBKB
GSTM2	起调控作用	XBP1
SFN	起调控作用	SYK
POLA1	起调控作用	SERPINA3
ALDH7A1	起调控作用	RPIA
UBB	起调控作用	PPARD
SPR	起调控作用	EP300
PCBD1	起调控作用	SLPI
LMNA	起调控作用	SELL
ARF1	起调控作用	MIF
RB1	起调控作用	BRCA1
DNMT1	起调控作用	RFC2
WFS1	起调控作用	LAMA3
TNFRSF10B	起调控作用	ERBB2
NTRK1	起调控作用	GJA1
LPL	起调控作用	HSD17B10
SNCA	起调控作用	MIF
SERPINA6	起调控作用	GNAI1
MTOR	起调控作用	TUBA4A
MAPK13	起调控作用	CDK4
PML	起调控作用	ADM
ERBB2	起调控作用	RBP4
NFKB1	起调控作用	GJA1
SAT1	起调控作用	BAG3
GSTM2	起调控作用	SERPINE1
MAT1A	起调控作用	GADD45A
ALDH7A1	起调控作用	STAT1
ADRA2A	起调控作用	PCBD1
PTK2	起调控作用	YBX3
CDKN1B	起调控作用	CSRP1
CYP27B1	起调控作用	FOSL1
LCK	起调控作用	TPM1
MAOB	起调控作用	LGALS1
GSTM2	起调控作用	LIG1
NRAS	起调控作用	GNAS
TXNRD1	起调控作用	TFF1
PDGFRB	起调控作用	FABP5
HPGD	起调控作用	TF
RXRA	起调控作用	PMAIP1
TGFBR1	起调控作用	IDH1
ATP1A3	起调控作用	CASP3
BAG3	起调控作用	PARP1
KNG1	起调控作用	ICAM1
SMAD7	起调控作用	PYCR1
ATP2C1	起调控作用	EGLN1
HSPA5	起调控作用	MIF
RPS19	起调控作用	CDC20
TFE3	起调控作用	HP
MAPK9	起调控作用	TFPI2
KRAS	起调控作用	PTPN6
HMGCL	起调控作用	GALE
GFRA1	起调控作用	EPCAM
PTGS2	起调控作用	MIF
SFN	起调控作用	CAPN1
PCK1	起调控作用	SPP1
CAPN1	起调控作用	TPI1
EGR1	起调控作用	JUNB
CAT	起调控作用	CDK5R1
EGFR	起调控作用	SELL
RAD51	起调控作用	MT1E
CALM1	起调控作用	CDC20
TIMP4	起调控作用	HP
FAS	起调控作用	PRKCQ
XIAP	起调控作用	VIM
IKBKG	起调控作用	COG2
PIK3C2A	起调控作用	HMOX1
NR4A1	起调控作用	HIF1A
CD83	起调控作用	ALDH18A1
AFP	起调控作用	NME1
IL2RB	起调控作用	VDAC1
AFP	起调控作用	CDK4
PHGDH	起调控作用	AKR1C2
FLT4	起调控作用	PCNA
UROD	起调控作用	CES1
TH	起调控作用	HSPB1
IGF1R	起调控作用	SELL
GNAS	起调控作用	CDK4
MAP2K4	起调控作用	CDK6
NRP1	起调控作用	PTGES
POLB	起调控作用	TBXA2R
DDC	起调控作用	CYCS
MET	起调控作用	FN1
SCARB1	起调控作用	IKBKB
JUN	起调控作用	PNP
CTDSP1	起调控作用	PSIP1
OTUD7A	起调控作用	NFKBIA
PAH	起调控作用	PLA2G4A
CALR	起调控作用	BIRC5
MERTK	起调控作用	CES1
CBS	起调控作用	TF
TGFB1	起调控作用	GADD45A
NOD2	起调控作用	SPR
HLA-DQB1	起调控作用	SPR
IRS1	起调控作用	EBP
IFNB1	起调控作用	CASP7
