中医学症状	关系	疾病
痔疮肿痛	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
肠风	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
咽红肿痛	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
痒	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
风湿热痹	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
身目发黄	潜在联系	Mednik Syndrome
耳内流脓	潜在联系	Folate Malabsorption, Hereditary
下血	潜在联系	Alpha-Thalassemia-X-Linked Intellectual Disability Syndrome
胁下痞块	潜在联系	Alpha-Thalassemia-X-Linked Intellectual Disability Syndrome
牙龈肿痛出血	潜在联系	Alpha-Thalassemia-X-Linked Intellectual Disability Syndrome
风眼烂弦	潜在联系	Alpha-Thalassemia-X-Linked Intellectual Disability Syndrome
面赤	潜在联系	Alpha-Thalassemia-X-Linked Intellectual Disability Syndrome
尿血血色鲜红	潜在联系	Alpha-Thalassemia-X-Linked Intellectual Disability Syndrome
流黄涕	潜在联系	Alpha-Thalassemia-X-Linked Intellectual Disability Syndrome
目昏不明	潜在联系	Alpha-Thalassemia-X-Linked Intellectual Disability Syndrome
下肢沉重	潜在联系	Acrodermatitis Enteropathica
小便黄	潜在联系	Acrodermatitis Enteropathica
阴痒	潜在联系	Acrodermatitis Enteropathica
血淋涩痛	潜在联系	Acrodermatitis Enteropathica
口燥	潜在联系	Acrodermatitis Enteropathica
尿血	潜在联系	Acrodermatitis Enteropathica
小便淋漓	潜在联系	Blau Syndrome
风热感冒	潜在联系	Blau Syndrome
流脓涕	潜在联系	Adult Syndrome
目发黄	潜在联系	Adult Syndrome
皮肤糜烂	潜在联系	Adult Syndrome
牙痛	潜在联系	Adult Syndrome
小便赤涩	潜在联系	Majeed Syndrome
流脓	潜在联系	Majeed Syndrome
身目发黄	潜在联系	Majeed Syndrome
暑邪发热	潜在联系	Majeed Syndrome
肢体困重	潜在联系	Majeed Syndrome
热淋	潜在联系	Majeed Syndrome
呃逆	潜在联系	Majeed Syndrome
五心烦热	潜在联系	Majeed Syndrome
暴注下泻	潜在联系	Majeed Syndrome
尿血血色紫红	潜在联系	Majeed Syndrome
舌暗红	潜在联系	Majeed Syndrome
痈疽脓成不溃	潜在联系	Majeed Syndrome
痈肿疔疮	潜在联系	Majeed Syndrome
肠痈肿痛	潜在联系	Majeed Syndrome
皮疹表面覆有较厚的银白色鳞屑	潜在联系	Majeed Syndrome
风热郁肺咽痛	潜在联系	Majeed Syndrome
尿热	潜在联系	Isolated Complex I Deficiency
咯血	潜在联系	Isolated Complex I Deficiency
尿热	潜在联系	Griscelli Syndrome, Type 2
舌体胖大	潜在联系	Griscelli Syndrome, Type 2
暑邪发热	潜在联系	Griscelli Syndrome, Type 2
泄泻	潜在联系	Griscelli Syndrome, Type 2
胃脘嘈杂不适	潜在联系	Griscelli Syndrome, Type 2
赤缕红斑	潜在联系	Griscelli Syndrome, Type 2
皮肤风团色红	潜在联系	Griscelli Syndrome, Type 2
尿热	潜在联系	Familial Neurocardiogenic Syncope
热痢	潜在联系	Familial Neurocardiogenic Syncope
胁肋部疼痛	潜在联系	Familial Neurocardiogenic Syncope
乳房结节	潜在联系	Familial Neurocardiogenic Syncope
牙疼	潜在联系	Familial Neurocardiogenic Syncope
腐肉不去	潜在联系	Familial Neurocardiogenic Syncope
痈疽初起	潜在联系	Familial Neurocardiogenic Syncope
痰稠难出	潜在联系	Familial Neurocardiogenic Syncope
尿急	潜在联系	Glutaryl-Coa Dehydrogenase Deficiency
脓痰	潜在联系	Glutaryl-Coa Dehydrogenase Deficiency
胃火牙痛	潜在联系	Glutaryl-Coa Dehydrogenase Deficiency
舌暗红	潜在联系	Glutaryl-Coa Dehydrogenase Deficiency
风热郁肺咽痛	潜在联系	Glutaryl-Coa Dehydrogenase Deficiency
口干	潜在联系	Alpha-N-Acetylgalactosaminidase Deficiency Type 1
心气痛	潜在联系	Alpha-N-Acetylgalactosaminidase Deficiency Type 1
发热	潜在联系	Alpha-N-Acetylgalactosaminidase Deficiency Type 1
流脓	潜在联系	Alpha-N-Acetylgalactosaminidase Deficiency Type 1
流脓涕	潜在联系	Alpha-N-Acetylgalactosaminidase Deficiency Type 1
目黄	潜在联系	Alpha-N-Acetylgalactosaminidase Deficiency Type 1
纳差	潜在联系	Alpha-N-Acetylgalactosaminidase Deficiency Type 1
身目发黄	潜在联系	Alpha-N-Acetylgalactosaminidase Deficiency Type 1
下肢沉重	潜在联系	Alpha-N-Acetylgalactosaminidase Deficiency Type 1
小便浑浊	潜在联系	Alpha-N-Acetylgalactosaminidase Deficiency Type 1
血淋	潜在联系	Alpha-N-Acetylgalactosaminidase Deficiency Type 1
癥瘕痞块	潜在联系	Alpha-N-Acetylgalactosaminidase Deficiency Type 1
足胫红肿热痛	潜在联系	Alpha-N-Acetylgalactosaminidase Deficiency Type 1
劳热	潜在联系	Alpha-N-Acetylgalactosaminidase Deficiency Type 1
湿痹	潜在联系	Alpha-N-Acetylgalactosaminidase Deficiency Type 1
血淋涩痛	潜在联系	Alpha-N-Acetylgalactosaminidase Deficiency Type 1
嘈杂	潜在联系	Alpha-N-Acetylgalactosaminidase Deficiency Type 1
脐腹胀痛	潜在联系	Alpha-N-Acetylgalactosaminidase Deficiency Type 1
呃逆	潜在联系	Alpha-N-Acetylgalactosaminidase Deficiency Type 1
乳房胀痛	潜在联系	Alpha-N-Acetylgalactosaminidase Deficiency Type 1
牙龈出血	潜在联系	Alpha-N-Acetylgalactosaminidase Deficiency Type 1
牙龈红肿	潜在联系	Alpha-N-Acetylgalactosaminidase Deficiency Type 1
易饥	潜在联系	Alpha-N-Acetylgalactosaminidase Deficiency Type 1
口燥	潜在联系	Alpha-N-Acetylgalactosaminidase Deficiency Type 1
小儿疳积发热	潜在联系	Alpha-N-Acetylgalactosaminidase Deficiency Type 1
便闭	潜在联系	Alpha-N-Acetylgalactosaminidase Deficiency Type 1
风眼烂弦	潜在联系	Alpha-N-Acetylgalactosaminidase Deficiency Type 1
面赤	潜在联系	Alpha-N-Acetylgalactosaminidase Deficiency Type 1
尿血血色紫红	潜在联系	Alpha-N-Acetylgalactosaminidase Deficiency Type 1
腮肿	潜在联系	Alpha-N-Acetylgalactosaminidase Deficiency Type 1
舌暗红	潜在联系	Alpha-N-Acetylgalactosaminidase Deficiency Type 1
火毒疮疡	潜在联系	Alpha-N-Acetylgalactosaminidase Deficiency Type 1
痈疽初起	潜在联系	Alpha-N-Acetylgalactosaminidase Deficiency Type 1
风疹瘙痒	潜在联系	Alpha-N-Acetylgalactosaminidase Deficiency Type 1
流黄涕	潜在联系	Alpha-N-Acetylgalactosaminidase Deficiency Type 1
目昏不明	潜在联系	Alpha-N-Acetylgalactosaminidase Deficiency Type 1
风湿热痹	潜在联系	Alpha-N-Acetylgalactosaminidase Deficiency Type 1
风疹	潜在联系	Alpha-N-Acetylgalactosaminidase Deficiency Type 1
头痈	潜在联系	Pyogenic Arthritis-Pyoderma Gangrenosum-Acne Syndrome
风热感冒	潜在联系	Maternally-Inherited Diabetes And Deafness
牙痛	潜在联系	Maternally-Inherited Diabetes And Deafness
大便干结	潜在联系	Cyclic Neutropenia
大便脓血	潜在联系	Cyclic Neutropenia
舌尖红	潜在联系	Cyclic Neutropenia
不眠	潜在联系	Cyclic Neutropenia
口苦	潜在联系	Cyclic Neutropenia
黏液便	潜在联系	Cyclic Neutropenia
尿黄	潜在联系	Cyclic Neutropenia
舌胖	潜在联系	Cyclic Neutropenia
舌有齿痕	潜在联系	Cyclic Neutropenia
湿痹拘挛	潜在联系	Cyclic Neutropenia
吐脓	潜在联系	Cyclic Neutropenia
脘腹痞闷	潜在联系	Cyclic Neutropenia
小便白浊	潜在联系	Cyclic Neutropenia
小便黄少	潜在联系	Cyclic Neutropenia
胸腹胀满	潜在联系	Cyclic Neutropenia
胸胁胀痛	潜在联系	Cyclic Neutropenia
血尿	潜在联系	Cyclic Neutropenia
灼痛	潜在联系	Cyclic Neutropenia
湿痹	潜在联系	Cyclic Neutropenia
膝酸软	潜在联系	Cyclic Neutropenia
便结	潜在联系	Cyclic Neutropenia
口鼻生疮	潜在联系	Cyclic Neutropenia
乳房肿痛	潜在联系	Cyclic Neutropenia
月经过多	潜在联系	Cyclic Neutropenia
痔疮出血	潜在联系	Cyclic Neutropenia
痔疮痛	潜在联系	Cyclic Neutropenia
痔疮肿	潜在联系	Cyclic Neutropenia
庁肿	潜在联系	Cyclic Neutropenia
痈疮肿毒	潜在联系	Cyclic Neutropenia
痈肿疔疮	潜在联系	Cyclic Neutropenia
痔瘘	潜在联系	Cyclic Neutropenia
鼻塞	潜在联系	Cyclic Neutropenia
风热	潜在联系	Cyclic Neutropenia
目暗不明	潜在联系	Cyclic Neutropenia
咽喉干痛	潜在联系	Cyclic Neutropenia
目暗	潜在联系	Cyclic Neutropenia
尿血血色鲜红	潜在联系	Ehlers-Danlos Syndrome, Hypermobility Type
呕吐	潜在联系	Dpagt1-Cdg
乳房肿块	潜在联系	Dpagt1-Cdg
臁疮糜烂	潜在联系	Mpi-Cdg
吐血	潜在联系	Chylomicron Retention Disease
尿色偏黄	潜在联系	Chylomicron Retention Disease
胸胁闷痛	潜在联系	Chylomicron Retention Disease
尿血血色紫红	潜在联系	Chylomicron Retention Disease
风热郁肺咽痛	潜在联系	Congenital Bile Acid Synthesis Defect Type 1
血热发斑	潜在联系	1P36 Deletion Syndrome
发热	潜在联系	1P36 Deletion Syndrome
脓疱	潜在联系	1P36 Deletion Syndrome
热痹疼痛	潜在联系	1P36 Deletion Syndrome
舌体胖大	潜在联系	1P36 Deletion Syndrome
泄泻	潜在联系	1P36 Deletion Syndrome
类风湿性关节炎	潜在联系	1P36 Deletion Syndrome
嘈杂呕吐	潜在联系	1P36 Deletion Syndrome
脘胁胀痛	潜在联系	1P36 Deletion Syndrome
乳房疼痛	潜在联系	1P36 Deletion Syndrome
乳腺增生	潜在联系	1P36 Deletion Syndrome
牙龈出血	潜在联系	1P36 Deletion Syndrome
火毒疮疡	潜在联系	1P36 Deletion Syndrome
鼻流浊涕	潜在联系	1P36 Deletion Syndrome
目涩痛	潜在联系	1P36 Deletion Syndrome
