基因	关系	通路
CREB1	相关通路	Pathway::PC7_5970
LIMK1	相关通路	Pathway::PC7_7423
CALR	相关通路	Pathway::PC7_2460
B3GAT3	相关通路	Pathway::PC7_3018
CYP1A2	相关通路	Pathway::PC7_6432
VHL	相关通路	Pathway::PC7_4688
ALDH5A1	相关通路	Pathway::PC7_4019
BBC3	相关通路	Pathway::WP1772_r84701
LEP	相关通路	Pathway::PC7_3084
HDAC1	相关通路	Pathway::PC7_2521
LAMA3	相关通路	Pathway::PC7_3777
BBC3	相关通路	Pathway::WP707_r82937
ATM	相关通路	Pathway::WP45_r80001
COL4A1	相关通路	Pathway::PC7_7718
APOA1	相关通路	Pathway::PC7_4992
ARF1	相关通路	Pathway::PC7_4365
TYMS	相关通路	Pathway::WP2446_r84651
ARRB1	相关通路	Pathway::PC7_4638
PPARGC1A	相关通路	Pathway::WP2895_r79216
CDKN1B	相关通路	Pathway::PC7_1563
JUN	相关通路	Pathway::WP706_r80056
VWF	相关通路	Pathway::PC7_3958
CREB1	相关通路	Pathway::PC7_1178
NME1	相关通路	Pathway::PC7_5994
TFRC	相关通路	Pathway::PC7_3853
IFNB1	相关通路	Pathway::PC7_2907
NGF	相关通路	Pathway::PC7_12282
ADAM10	相关通路	Pathway::PC7_7474
NCOA6	相关通路	Pathway::PC7_8339
NFKB1	相关通路	Pathway::PC7_1851
IDS	相关通路	Pathway::PC7_5322
JUN	相关通路	Pathway::PC7_3670
RB1	相关通路	Pathway::PC7_2949
CREB1	相关通路	Pathway::WP3594_r84573
PSME3	相关通路	Pathway::PC7_4004
MASP2	相关通路	Pathway::PC7_2704
FGF2	相关通路	Pathway::WP2064_r79263
SLC25A12	相关通路	Pathway::PC7_4207
AKT1	相关通路	Pathway::PC7_6904
RHOA	相关通路	Pathway::PC7_1868
BARD1	相关通路	Pathway::WP1971_r82939
CDH5	相关通路	Pathway::PC7_8667
ARG1	相关通路	Pathway::PC7_1178
SGK1	相关通路	Pathway::PC7_2624
SDHC	相关通路	Pathway::WP78_r70014
PIK3R2	相关通路	Pathway::PC7_4663
EP300	相关通路	Pathway::PC7_4417
MYH14	相关通路	Pathway::PC7_7425
CTNNA1	相关通路	Pathway::PC7_3084
TGFBR2	相关通路	Pathway::PC7_4284
GRB2	相关通路	Pathway::PC7_4000
HRAS	相关通路	Pathway::WP23_r79985
CRH	相关通路	Pathway::PC7_4044
CASP3	相关通路	Pathway::WP2328_r84648
GP1BB	相关通路	Pathway::PC7_6512
B2M	相关通路	Pathway::PC7_4689
PSMB4	相关通路	Pathway::PC7_4438
EGFR	相关通路	Pathway::PC7_5772
TNNT2	相关通路	Pathway::WP2406_r73324
CCND3	相关通路	Pathway::WP1530_r84694
AKT1	相关通路	Pathway::PC7_6994
NCF2	相关通路	Pathway::PC7_3278
SNCA	相关通路	Pathway::WP2059_r82906
SMAD7	相关通路	Pathway::PC7_7796
TNFRSF1A	相关通路	Pathway::PC7_2506
ITGB3	相关通路	Pathway::WP727_r79969
ADCY2	相关通路	Pathway::PC7_8339
NR3C1	相关通路	Pathway::WP706_r80056
PIK3R1	相关通路	Pathway::PC7_3326
MYC	相关通路	Pathway::PC7_3855
GNAS	相关通路	Pathway::WP734_r74438
PSPH	相关通路	Pathway::PC7_1629
CD19	相关通路	Pathway::PC7_2926
ADCY5	相关通路	Pathway::PC7_4741
IL23A	相关通路	Pathway::PC7_4614
TLR2	相关通路	Pathway::PC7_2064
CD3G	相关通路	Pathway::PC7_4115
COL1A2	相关通路	Pathway::PC7_4627
FOS	相关通路	Pathway::WP2032_r79960
PTPN1	相关通路	Pathway::PC7_7495
PTPN11	相关通路	Pathway::PC7_5991
PRKCD	相关通路	Pathway::PC7_3325
APP	相关通路	Pathway::WP2377_r80437
PTK2	相关通路	Pathway::WP306_r80308
IRS1	相关通路	Pathway::PC7_7269
MAPK8	相关通路	Pathway::PC7_3698
PTPN6	相关通路	Pathway::PC7_7478
CDC25B	相关通路	Pathway::WP382_r79951
IGF1	相关通路	Pathway::PC7_5330
KRAS	相关通路	Pathway::PC7_2372
KIF11	相关通路	Pathway::PC7_4887
LDLR	相关通路	Pathway::WP176_r82704
ETS1	相关通路	Pathway::WP2064_r79263
IFNGR2	相关通路	Pathway::WP619_r71168
PPP2R1A	相关通路	Pathway::PC7_2500
MAP3K5	相关通路	Pathway::PC7_2625
ABCG1	相关通路	Pathway::PC7_4992
SP1	相关通路	Pathway::WP391_r71373
ITPR2	相关通路	Pathway::WP2059_r82906
GLB1	相关通路	Pathway::PC7_5322
DES	相关通路	Pathway::WP383_r80200
MTOR	相关通路	Pathway::WP2011_r75253
RAC1	相关通路	Pathway::PC7_2523
F10	相关通路	Pathway::PC7_2078
JAK1	相关通路	Pathway::PC7_4773
AHR	相关通路	Pathway::WP2586_r79995
SLC5A2	相关通路	Pathway::WP2884_r83041
VHL	相关通路	Pathway::PC7_1563
NCOA1	相关通路	Pathway::PC7_6946
PLA2G4A	相关通路	Pathway::PC7_2392
PCOLCE	相关通路	Pathway::PC7_3777
PIK3CA	相关通路	Pathway::PC7_7449
IFNG	相关通路	Pathway::PC7_7269
ATM	相关通路	Pathway::PC7_3362
CALM1	相关通路	Pathway::PC7_2335
CASP7	相关通路	Pathway::PC7_1689
NRAS	相关通路	Pathway::PC7_4038
APOB	相关通路	Pathway::PC7_5326
PDGFA	相关通路	Pathway::PC7_4688
SOD1	相关通路	Pathway::WP2324_r78487
SLC6A2	相关通路	Pathway::PC7_7290
GSK3B	相关通路	Pathway::PC7_3062
MAPK7	相关通路	Pathway::PC7_8431
RHO	相关通路	Pathway::PC7_2620
MAP2K1	相关通路	Pathway::WP49_r78543
RPS19	相关通路	Pathway::PC7_4728
MAPK3	相关通路	Pathway::PC7_8061
NFKBIA	相关通路	Pathway::PC7_7463
CD247	相关通路	Pathway::PC7_3886
GRK2	相关通路	Pathway::PC7_4107
APLNR	相关通路	Pathway::PC7_3992
CISH	相关通路	Pathway::WP581_r67199
PDGFRB	相关通路	Pathway::PC7_7444
PRKCA	相关通路	Pathway::PC7_3278
SYK	相关通路	Pathway::PC7_3886
DAXX	相关通路	Pathway::PC7_7795
TLR6	相关通路	Pathway::PC7_8288
IL6	相关通路	Pathway::PC7_4583
COL2A1	相关通路	Pathway::PC7_2668
INS	相关通路	Pathway::PC7_4745
RAC1	相关通路	Pathway::PC7_4994
CASP6	相关通路	Pathway::PC7_2118
SYK	相关通路	Pathway::PC7_1670
CENPE	相关通路	Pathway::PC7_4887
TGFB1	相关通路	Pathway::PC7_3777
BAD	相关通路	Pathway::PC7_7443
CAT	相关通路	Pathway::WP2447_r84415
NOD2	相关通路	Pathway::PC7_2467
TUBA4A	相关通路	Pathway::PC7_2685
SLC22A5	相关通路	Pathway::PC7_6061
UTS2	相关通路	Pathway::PC7_7439
CALM1	相关通路	Pathway::PC7_8664
ST3GAL5	相关通路	Pathway::PC7_7434
CXCL8	相关通路	Pathway::PC7_2543
DRD3	相关通路	Pathway::PC7_4043
NFKB1	相关通路	Pathway::PC7_8057
POLB	相关通路	Pathway::PC7_2950
HDAC1	相关通路	Pathway::WP2036_r84527
ADAM10	相关通路	Pathway::PC7_3777
PCSK2	相关通路	Pathway::PC7_4747
RAC2	相关通路	Pathway::WP2290_r79988
ABCC9	相关通路	Pathway::PC7_1210
ADK	相关通路	Pathway::PC7_5994
NOS2	相关通路	Pathway::PC7_5948
ABCC4	相关通路	Pathway::PC7_8339
CCNE1	相关通路	Pathway::PC7_12274
FH	相关通路	Pathway::PC7_6670
CXCL2	相关通路	Pathway::PC7_2620
NFKB2	相关通路	Pathway::WP262_r84487
IRF5	相关通路	Pathway::WP1449_r81172
FOS	相关通路	Pathway::PC7_3806
AKT1	相关通路	Pathway::PC7_1523
COL2A1	相关通路	Pathway::WP474_r80208
COL4A1	相关通路	Pathway::PC7_1863
IL6	相关通路	Pathway::PC7_7504
HBEGF	相关通路	Pathway::PC7_7478
ECHS1	相关通路	Pathway::PC7_2066
CREBBP	相关通路	Pathway::PC7_8323
NFATC1	相关通路	Pathway::PC7_2393
GP1BA	相关通路	Pathway::PC7_4784
EPHB2	相关通路	Pathway::PC7_3084
CD80	相关通路	Pathway::WP1449_r81172
CACNA1A	相关通路	Pathway::PC7_3071
SLC1A2	相关通路	Pathway::PC7_1630
CCNB1	相关通路	Pathway::PC7_3980
PRKCQ	相关通路	Pathway::PC7_6992
GRB2	相关通路	Pathway::PC7_1670
CDKN1B	相关通路	Pathway::PC7_2925
IVD	相关通路	Pathway::PC7_2117
NGF	相关通路	Pathway::PC7_5772
RPS6KA3	相关通路	Pathway::WP481_r82731
PLA2G4A	相关通路	Pathway::PC7_6462
JUN	相关通路	Pathway::WP314_r80438
HDAC1	相关通路	Pathway::PC7_4161
CFD	相关通路	Pathway::PC7_6512
HSP90AA1	相关通路	Pathway::PC7_8664
MAPK1	相关通路	Pathway::PC7_7457
RPSA	相关通路	Pathway::PC7_5972
YWHAB	相关通路	Pathway::PC7_4688
CAT	相关通路	Pathway::WP710_r79974
YWHAB	相关通路	Pathway::PC7_7448
GRIA2	相关通路	Pathway::PC7_5890
PDGFA	相关通路	Pathway::PC7_1877
JAK2	相关通路	Pathway::PC7_4664
NOS3	相关通路	Pathway::WP289_r81078
PSENEN	相关通路	Pathway::PC7_3084
MAPK13	相关通路	Pathway::PC7_4741
SMARCA4	相关通路	Pathway::PC7_6918
NTRK1	相关通路	Pathway::PC7_12279
IDH2	相关通路	Pathway::PC7_2610
PRKCG	相关通路	Pathway::PC7_4215
CHRNA7	相关通路	Pathway::WP706_r80056
CREB1	相关通路	Pathway::PC7_7447
SFN	相关通路	Pathway::PC7_4785
GNRHR	相关通路	Pathway::PC7_3993
GOT1	相关通路	Pathway::PC7_5322
CDKN1A	相关通路	Pathway::WP2572_r79947
AASS	相关通路	Pathway::PC7_5045
YWHAB	相关通路	Pathway::PC7_1563
GABRG2	相关通路	Pathway::PC7_4791
MTR	相关通路	Pathway::WP241_r83818
PTK2	相关通路	Pathway::PC7_5867
HPSE	相关通路	Pathway::PC7_5322
FGFR2	相关通路	Pathway::PC7_6994
IKBKG	相关通路	Pathway::PC7_7788
PDE4D	相关通路	Pathway::PC7_7457
HDAC4	相关通路	Pathway::PC7_2681
RPS6	相关通路	Pathway::WP2034_r80016
MAPK9	相关通路	Pathway::PC7_2263
MAPK3	相关通路	Pathway::PC7_7499
LCK	相关通路	Pathway::WP49_r78543
CAPN1	相关通路	Pathway::PC7_7493
VIM	相关通路	Pathway::PC7_1689
IL1B	相关通路	Pathway::WP2431_r84650
SIRT1	相关通路	Pathway::WP1982_r79943
TNFSF10	相关通路	Pathway::WP254_r84652
GAMT	相关通路	Pathway::WP3584_r84776
NCOR1	相关通路	Pathway::PC7_2170
TYK2	相关通路	Pathway::PC7_7457
EP300	相关通路	Pathway::PC7_2570
PCNA	相关通路	Pathway::PC7_2575
RAF1	相关通路	Pathway::PC7_7268
MAX	相关通路	Pathway::PC7_2171
CDKN1B	相关通路	Pathway::WP2864_r79278
NRAS	相关通路	Pathway::PC7_7503
MC2R	相关通路	Pathway::WP24_r79999
APOE	相关通路	Pathway::WP1533_r82707
PCBD1	相关通路	Pathway::PC7_5322
PRKCQ	相关通路	Pathway::PC7_1688
PDGFA	相关通路	Pathway::PC7_7443
HLA-DRA	相关通路	Pathway::WP2328_r84648
EGFR	相关通路	Pathway::PC7_6542
ATM	相关通路	Pathway::PC7_2467
HTR2B	相关通路	Pathway::WP732_r80010
CACNA1C	相关通路	Pathway::PC7_5322
PIK3R1	相关通路	Pathway::PC7_2701
INS	相关通路	Pathway::PC7_1698
NFKB1	相关通路	Pathway::PC7_10557
C3	相关通路	Pathway::PC7_1563
CPT2	相关通路	Pathway::PC7_6910
RFC2	相关通路	Pathway::PC7_4105
CDC42	相关通路	Pathway::PC7_5893
CALM1	相关通路	Pathway::PC7_2458
ETS1	相关通路	Pathway::WP2864_r79278
TIRAP	相关通路	Pathway::PC7_5561
GRB2	相关通路	Pathway::PC7_3806
MAPK3	相关通路	Pathway::WP1449_r81172
ADRA1A	相关通路	Pathway::PC7_7457
CXCL8	相关通路	Pathway::PC7_4940
FOS	相关通路	Pathway::PC7_2532
F7	相关通路	Pathway::WP558_r79680
EP300	相关通路	Pathway::PC7_7484
PIK3CD	相关通路	Pathway::PC7_4779
PTEN	相关通路	Pathway::PC7_7786
SLC9A1	相关通路	Pathway::PC7_3018
SDHB	相关通路	Pathway::PC7_6943
MDM2	相关通路	Pathway::WP1742_r71700
CACNB2	相关通路	Pathway::PC7_3084
MAPK1	相关通路	Pathway::PC7_6895
UBB	相关通路	Pathway::PC7_4467
PRKCD	相关通路	Pathway::PC7_6992
APEX1	相关通路	Pathway::PC7_5188
PPIB	相关通路	Pathway::PC7_3777
ERBB2	相关通路	Pathway::PC7_4012
PPIB	相关通路	Pathway::PC7_2668
CD44	相关通路	Pathway::PC7_4773
MAP2K2	相关通路	Pathway::PC7_5560
SYK	相关通路	Pathway::PC7_2926
LAMA3	相关通路	Pathway::WP306_r80308
HDAC1	相关通路	Pathway::PC7_6791
SMAD4	相关通路	Pathway::WP138_r79958
IL2	相关通路	Pathway::PC7_7269
HMGB1	相关通路	Pathway::PC7_8295
NDUFA9	相关通路	Pathway::WP623_r79961
FECH	相关通路	Pathway::PC7_4443
ELOVL6	相关通路	Pathway::PC7_5326
NCF1	相关通路	Pathway::PC7_3278
PIK3R2	相关通路	Pathway::PC7_4000
B4GALT4	相关通路	Pathway::PC7_4876
SMARCE1	相关通路	Pathway::WP138_r79958
PDGFA	相关通路	Pathway::PC7_6514
KIF11	相关通路	Pathway::PC7_1563
IGH	相关通路	Pathway::PC7_6995
AURKB	相关通路	Pathway::PC7_7427
NOS3	相关通路	Pathway::PC7_7439
CDK2	相关通路	Pathway::PC7_2519
HEXB	相关通路	Pathway::PC7_3018
CALM1	相关通路	Pathway::PC7_5772
NFATC1	相关通路	Pathway::WP69_r79955
CD86	相关通路	Pathway::PC7_7447
PRKCA	相关通路	Pathway::PC7_1178
CDK2	相关通路	Pathway::PC7_6465
GADD45A	相关通路	Pathway::WP1530_r84694
SIN3A	相关通路	Pathway::PC7_6910
IGFBP3	相关通路	Pathway::PC7_3277
CDC42	相关通路	Pathway::PC7_2251
MMP14	相关通路	Pathway::PC7_3065
NCOA6	相关通路	Pathway::PC7_8323
CXCR3	相关通路	Pathway::WP455_r81793
PIM1	相关通路	Pathway::PC7_4038
FGFR3	相关通路	Pathway::PC7_2926
CD79A	相关通路	Pathway::WP23_r79985
GNAS	相关通路	Pathway::PC7_3992
CD80	相关通路	Pathway::PC7_2679
JAK1	相关通路	Pathway::PC7_7475
PRKCG	相关通路	Pathway::WP2261_r81197
POLB	相关通路	Pathway::WP404_r68960
CAT	相关通路	Pathway::PC7_5322
NAMPT	相关通路	Pathway::PC7_2008
MAP2K2	相关通路	Pathway::PC7_8291
LDHA	相关通路	Pathway::PC7_6670
CD44	相关通路	Pathway::PC7_2907
XIAP	相关通路	Pathway::PC7_2012
IL2	相关通路	Pathway::WP127_r78498
MYD88	相关通路	Pathway::PC7_12283
NFKB1	相关通路	Pathway::PC7_6066
SMAD4	相关通路	Pathway::WP2870_r79555
NRAS	相关通路	Pathway::PC7_7448
PLK2	相关通路	Pathway::PC7_6520
CHRM1	相关通路	Pathway::PC7_4107
SDHA	相关通路	Pathway::PC7_6942
SPDEF	相关通路	Pathway::PC7_6876
PTPN11	相关通路	Pathway::PC7_4012
LPL	相关通路	Pathway::PC7_6948
TNF	相关通路	Pathway::WP2036_r84527
GJA1	相关通路	Pathway::WP2431_r84650
EP300	相关通路	Pathway::PC7_8679
PRKAR2B	相关通路	Pathway::PC7_5322
PDGFRA	相关通路	Pathway::PC7_7448
CDKN1B	相关通路	Pathway::PC7_2926
TNF	相关通路	Pathway::PC7_2506
OPRK1	相关通路	Pathway::PC7_6396
PRL	相关通路	Pathway::PC7_5991
FYN	相关通路	Pathway::PC7_4780
CDKN1A	相关通路	Pathway::WP138_r79958
LTC4S	相关通路	Pathway::WP167_r82702
RPL10	相关通路	Pathway::PC7_4085
CDC42	相关通路	Pathway::PC7_6066
RAC2	相关通路	Pathway::PC7_6108
RAC1	相关通路	Pathway::WP23_r79985
FYN	相关通路	Pathway::PC7_1664
NFKBIA	相关通路	Pathway::PC7_5560
MDM2	相关通路	Pathway::PC7_4004
CALM1	相关通路	Pathway::PC7_6945
IL6	相关通路	Pathway::PC7_3278
ADCY2	相关通路	Pathway::PC7_7457
PLA2G4A	相关通路	Pathway::PC7_6177
UBE2I	相关通路	Pathway::PC7_5271
SRC	相关通路	Pathway::PC7_7445
ADCY2	相关通路	Pathway::PC7_1572
CEBPB	相关通路	Pathway::PC7_4619
SIN3A	相关通路	Pathway::PC7_4440
PLG	相关通路	Pathway::PC7_5330
NOTCH3	相关通路	Pathway::PC7_4112
SRC	相关通路	Pathway::PC7_4688
GRIN1	相关通路	Pathway::PC7_8340
AVP	相关通路	Pathway::PC7_8339
HSPA2	相关通路	Pathway::WP2359_r72121
KIF11	相关通路	Pathway::PC7_5157
SFN	相关通路	Pathway::PC7_4751
TIRAP	相关通路	Pathway::WP75_r83867
NPM1	相关通路	Pathway::PC7_1856
HLA-B	相关通路	Pathway::PC7_4688
AKT1	相关通路	Pathway::PC7_3811
PTK2	相关通路	Pathway::PC7_3084
PIK3CD	相关通路	Pathway::PC7_1563
PIK3R1	相关通路	Pathway::PC7_4637
NFKBIA	相关通路	Pathway::WP1433_r83527
NFKBIA	相关通路	Pathway::PC7_8295
IL6ST	相关通路	Pathway::PC7_4688
PSME3	相关通路	Pathway::PC7_6877
CREB1	相关通路	Pathway::PC7_5078
EP300	相关通路	Pathway::PC7_4340
TSHB	相关通路	Pathway::PC7_4271
PIK3R2	相关通路	Pathway::PC7_2679
CHUK	相关通路	Pathway::PC7_7447
NCF4	相关通路	Pathway::PC7_8664
SCARB1	相关通路	Pathway::PC7_4992
FGF8	相关通路	Pathway::PC7_7475
PKLR	相关通路	Pathway::PC7_6904
MVK	相关通路	Pathway::PC7_1550
MEF2A	相关通路	Pathway::PC7_8291
MAPK9	相关通路	Pathway::PC7_1551
RHOA	相关通路	Pathway::PC7_2373
GSK3B	相关通路	Pathway::WP2583_r84488
HLA-DPB1	相关通路	Pathway::PC7_7786
SLC2A2	相关通路	Pathway::WP534_r78585
MAPK1	相关通路	Pathway::PC7_7718
TIMP1	相关通路	Pathway::WP129_r72054
SRC	相关通路	Pathway::PC7_6916
CD247	相关通路	Pathway::PC7_6463
CFI	相关通路	Pathway::PC7_4688
NFKBIA	相关通路	Pathway::WP69_r79955
CTNNB1	相关通路	Pathway::WP1984_r82941
GRB2	相关通路	Pathway::PC7_5893
CREB1	相关通路	Pathway::PC7_7478
PDGFRA	相关通路	Pathway::PC7_1563
ELANE	相关通路	Pathway::PC7_2170
SAR1B	相关通路	Pathway::PC7_4688
IDH1	相关通路	Pathway::WP3585_r84793
JUNB	相关通路	Pathway::WP366_r84196
NOTCH2	相关通路	Pathway::PC7_7465
FXN	相关通路	Pathway::PC7_5516
SLC25A20	相关通路	Pathway::PC7_5326
UBB	相关通路	Pathway::PC7_2950
RPS6KB1	相关通路	Pathway::WP2032_r79960
CDKN1B	相关通路	Pathway::PC7_2951
PTPN11	相关通路	Pathway::PC7_2926
JAK1	相关通路	Pathway::PC7_4637
NR1H4	相关通路	Pathway::WP2289_r78511
PIK3R1	相关通路	Pathway::PC7_8061
ENO2	相关通路	Pathway::PC7_4207
DPP4	相关通路	Pathway::PC7_7767
CHRM2	相关通路	Pathway::WP455_r81793
GSS	相关通路	Pathway::PC7_5322
GABRA1	相关通路	Pathway::PC7_4791
VIPR1	相关通路	Pathway::PC7_3994
RAD51	相关通路	Pathway::WP3303_r83781
TLR6	相关通路	Pathway::PC7_5561
KCNC3	相关通路	Pathway::PC7_8763
BCL2	相关通路	Pathway::PC7_6992
KCNJ5	相关通路	Pathway::PC7_1533
FN1	相关通路	Pathway::PC7_2081
MEN1	相关通路	Pathway::PC7_11357
SPP1	相关通路	Pathway::PC7_7439
CDKN1B	相关通路	Pathway::PC7_2521
CTSG	相关通路	Pathway::PC7_3777
MYD88	相关通路	Pathway::WP1772_r84701
MAPK8	相关通路	Pathway::PC7_6141
RELA	相关通路	Pathway::WP262_r84487
TP53	相关通路	Pathway::WP176_r82704
FTH1	相关通路	Pathway::PC7_4300
JAK1	相关通路	Pathway::PC7_7495
SAA1	相关通路	Pathway::PC7_4688
TYK2	相关通路	Pathway::PC7_5697
ADCY8	相关通路	Pathway::PC7_7445
AVP	相关通路	Pathway::PC7_1691
MAP3K1	相关通路	Pathway::WP2380_r79953
SELL	相关通路	Pathway::PC7_2525
FOS	相关通路	Pathway::WP75_r83867
PSMB8	相关通路	Pathway::PC7_4365
IL1A	相关通路	Pathway::PC7_10400
ACTR3	相关通路	Pathway::PC7_3886
FGF8	相关通路	Pathway::PC7_1563
NFKBIA	相关通路	Pathway::WP2380_r79953
KRAS	相关通路	Pathway::PC7_7460
RAF1	相关通路	Pathway::PC7_2263
F5	相关通路	Pathway::PC7_6514
SMAD4	相关通路	Pathway::PC7_5025
IL2RG	相关通路	Pathway::PC7_7269
GSK3B	相关通路	Pathway::PC7_4741
RPS6	相关通路	Pathway::PC7_6153
RXRA	相关通路	Pathway::WP716_r83589
TLR4	相关通路	Pathway::WP2272_r78594
PTPN11	相关通路	Pathway::PC7_5559
SFN	相关通路	Pathway::PC7_6914
FGF7	相关通路	Pathway::PC7_6461
CTPS1	相关通路	Pathway::PC7_7723
F2	相关通路	Pathway::PC7_4099
MAPK1	相关通路	Pathway::PC7_5558
HLA-DQA2	相关通路	Pathway::WP2328_r84648
COL1A1	相关通路	Pathway::PC7_2095
TNFSF11	相关通路	Pathway::WP2018_r79959
IFNG	相关通路	Pathway::PC7_4593
PCNA	相关通路	Pathway::PC7_2951
CD80	相关通路	Pathway::PC7_6149
PTPN11	相关通路	Pathway::PC7_6994
CXCR3	相关通路	Pathway::WP117_r82985
PRKCG	相关通路	Pathway::PC7_3278
CD86	相关通路	Pathway::PC7_2925
FYN	相关通路	Pathway::PC7_6542
APEX1	相关通路	Pathway::PC7_4488
RPS19	相关通路	Pathway::PC7_3772
CDKN1B	相关通路	Pathway::PC7_3325
CYP2C8	相关通路	Pathway::PC7_2905
PIK3R2	相关通路	Pathway::PC7_1563
APOB	相关通路	Pathway::PC7_4449
RPS27A	相关通路	Pathway::PC7_6086
SAA1	相关通路	Pathway::PC7_4107
AKT2	相关通路	Pathway::WP2795_r78544
TFAM	相关通路	Pathway::PC7_5515
NFKB2	相关通路	Pathway::PC7_8295
PIK3R2	相关通路	Pathway::WP2261_r81197
KDM1A	相关通路	Pathway::PC7_5983
IL6	相关通路	Pathway::PC7_2925
SNAP25	相关通路	Pathway::PC7_5322
PRKCG	相关通路	Pathway::PC7_7448
APCS	相关通路	Pathway::PC7_3278
SRC	相关通路	Pathway::PC7_7482
HSF1	相关通路	Pathway::PC7_4417
EGFR	相关通路	Pathway::PC7_3386
CENPE	相关通路	Pathway::PC7_6941
SPARC	相关通路	Pathway::PC7_2095
CD36	相关通路	Pathway::PC7_8295
SERPINE1	相关通路	Pathway::PC7_3284
PTK2B	相关通路	Pathway::WP205_r80223
PIK3R2	相关通路	Pathway::PC7_3325
CYCS	相关通路	Pathway::PC7_4370
SAA1	相关通路	Pathway::WP176_r82704
ENPEP	相关通路	Pathway::PC7_5330
NFATC1	相关通路	Pathway::PC7_7483
ADAM10	相关通路	Pathway::PC7_7473
GSK3B	相关通路	Pathway::WP710_r79974
KDR	相关通路	Pathway::WP306_r80308
SLC6A4	相关通路	Pathway::WP1455_r68965
SMAD4	相关通路	Pathway::PC7_7464
RAC1	相关通路	Pathway::PC7_6512
BID	相关通路	Pathway::WP2377_r80437
PTPN11	相关通路	Pathway::PC7_6616
ADCYAP1	相关通路	Pathway::WP706_r80056
ADCY5	相关通路	Pathway::PC7_4438
POLE	相关通路	Pathway::PC7_8321
GNAI1	相关通路	Pathway::PC7_7041
STAT5B	相关通路	Pathway::WP286_r78583
MAPK9	相关通路	Pathway::PC7_8054
EGF	相关通路	Pathway::PC7_3392
CHUK	相关通路	Pathway::WP288_r80026
MMP2	相关通路	Pathway::PC7_3065
LCK	相关通路	Pathway::PC7_4594
RBP3	相关通路	Pathway::PC7_8233
CSNK1A1	相关通路	Pathway::PC7_11463
CCND1	相关通路	Pathway::WP1530_r84694
SST	相关通路	Pathway::PC7_7457
PRKACA	相关通路	Pathway::PC7_8701
SOD3	相关通路	Pathway::WP408_r78546
BCL2	相关通路	Pathway::PC7_8678
MET	相关通路	Pathway::PC7_6542
WFS1	相关通路	Pathway::PC7_8786
APEX1	相关通路	Pathway::PC7_8138
PTPN6	相关通路	Pathway::WP2583_r84488
AURKB	相关通路	Pathway::PC7_6941
AKT1	相关通路	Pathway::PC7_7445
GSK3B	相关通路	Pathway::WP2112_r63216
CAMK4	相关通路	Pathway::PC7_4688
MAPK1	相关通路	Pathway::WP2380_r79953
TYK2	相关通路	Pathway::PC7_7265
JAK1	相关通路	Pathway::PC7_6140
PRKCZ	相关通路	Pathway::WP2324_r78487
COL7A1	相关通路	Pathway::PC7_2076
JAK1	相关通路	Pathway::PC7_4618
NRAS	相关通路	Pathway::PC7_7341
CCL2	相关通路	Pathway::PC7_4614
NRAS	相关通路	Pathway::PC7_2170
TEK	相关通路	Pathway::PC7_4449
CD79A	相关通路	Pathway::PC7_4688
VEGFA	相关通路	Pathway::WP1984_r82941
DLG4	相关通路	Pathway::PC7_5984
IL1RN	相关通路	Pathway::PC7_4688
PLIN2	相关通路	Pathway::PC7_5322
ACTN1	相关通路	Pathway::PC7_2526
NTRK1	相关通路	Pathway::PC7_1548
PPP2R1A	相关通路	Pathway::PC7_2829
BAD	相关通路	Pathway::PC7_7478
UTS2	相关通路	Pathway::PC7_3993
PSIP1	相关通路	Pathway::PC7_8765
TOP2A	相关通路	Pathway::PC7_5528
ABCC9	相关通路	Pathway::PC7_4786
MET	相关通路	Pathway::PC7_1863
SIN3A	相关通路	Pathway::PC7_5875
PDE6G	相关通路	Pathway::PC7_4693
PMAIP1	相关通路	Pathway::PC7_1524
PIK3CA	相关通路	Pathway::PC7_6149
CDKN1A	相关通路	Pathway::PC7_6881
CALR	相关通路	Pathway::PC7_1671
CDC20	相关通路	Pathway::PC7_6464
SOD1	相关通路	Pathway::PC7_4449
BAD	相关通路	Pathway::WP286_r78583
PLAT	相关通路	Pathway::WP615_r81193
RAF1	相关通路	Pathway::PC7_7463
CDH1	相关通路	Pathway::PC7_2524
MYC	相关通路	Pathway::PC7_4116
NFKB1	相关通路	Pathway::PC7_3324
ALB	相关通路	Pathway::WP176_r82704
PTPN11	相关通路	Pathway::PC7_8054
CDC42	相关通路	Pathway::PC7_3415
C4B	相关通路	Pathway::PC7_4739
PDGFRB	相关通路	Pathway::PC7_1877
ITPR2	相关通路	Pathway::PC7_2926
EGR1	相关通路	Pathway::PC7_3698
KDR	相关通路	Pathway::PC7_5983
PTPN11	相关通路	Pathway::PC7_4745
MAPK9	相关通路	Pathway::WP2377_r80437
NPM1	相关通路	Pathway::PC7_4340
IFNA1	相关通路	Pathway::PC7_2907
COL5A1	相关通路	Pathway::PC7_3777
BRAF	相关通路	Pathway::PC7_7448
PRKCE	相关通路	Pathway::PC7_3325
OXTR	相关通路	Pathway::PC7_7457
NRIP1	相关通路	Pathway::WP3594_r84573
HAS2	相关通路	Pathway::PC7_2500
KLKB1	相关通路	Pathway::PC7_4449
TIMP1	相关通路	Pathway::PC7_6512
CDC25B	相关通路	Pathway::PC7_2521
HLA-DQB1	相关通路	Pathway::PC7_6128
IFNG	相关通路	Pathway::PC7_2907
